2018 A 188 260 119 153 162 118 188
2018 J 118 126 46 67 52 120 118
2017 A 214 298 91 159 202 200 214
2017 J 146 132 35 102 45 130 146
2016 A 169 309 64 153 235 200 169
2016 J 136 115 53 140 59 93 136
2015 A 124 263 38 151 225 150 124
2015 J 171 125 39 102 75 150 171
2014 A 123 244 52 130 150 130 123
2014 J 136 118 52 89 80 90 136
